Period [sec],Damp.=5.0%
0,0
0.05,0.03894
0.1,0.17359
0.15,0.36131
0.2,0.70894
0.25,1.12157
0.3,1.90441
0.35,2.83535
0.4,3.80025
0.45,5.43227
0.5,7.03642
0.55,8.39488
0.6,9.80922
0.65,11.02712
0.7,12.32928
0.75,13.75167
0.8,15.35938
0.85,17.03321
0.9,18.60732
0.95,19.99912
1,21.36545
1.05,24.88198
1.1,27.42095
1.15,29.06355
1.2,30.10357
1.25,30.82554
1.3,30.77914
1.35,30.32178
1.4,31.22925
1.45,31.8538
1.5,32.17841
1.55,32.24285
1.6,32.0652
1.65,31.68897
1.7,31.13846
1.75,30.42037
1.8,29.55064
1.85,28.54588
1.9,27.89859
1.95,27.99551
2,28.05055
2.05,28.06527
2.1,28.04182
2.15,27.98283
2.2,27.89131
2.25,27.77052
2.3,27.62394
2.35,27.45519
2.4,27.26797
2.45,27.06578
2.5,26.85746
2.55,26.6417
2.6,26.42118
2.65,26.19714
2.7,25.96507
2.75,25.72482
2.8,25.47617
2.85,25.219
2.9,24.95321
2.95,24.67853
3,24.39446
3.05,24.10065
3.1,23.80413
3.15,23.49729
3.2,23.18666
3.25,23.33557
3.3,23.68988
3.35,23.79884
3.4,23.68081
3.45,23.35715
3.5,22.86292
3.55,22.23363
3.6,21.50147
3.65,21.65377
3.7,21.70806
3.75,21.66105
3.8,21.51868
3.85,21.57747
3.9,21.64177
3.95,21.70188
4,21.75802
