Period [sec],Damp.=5.0%
0,0
0.05,0.02461
0.1,0.11504
0.15,0.35333
0.2,0.64531
0.25,1.55501
0.3,2.87383
0.35,3.91101
0.4,4.89609
0.45,4.08686
0.5,4.41068
0.55,5.71462
0.6,6.00694
0.65,7.36294
0.7,8.39374
0.75,8.5359
0.8,9.3642
0.85,10.48874
0.9,11.95737
0.95,13.53961
1,15.02976
1.05,16.29446
1.1,18.69195
1.15,21.06796
1.2,23.54054
1.25,26.00236
1.3,28.21046
1.35,29.97154
1.4,31.04776
1.45,31.28289
1.5,30.80142
1.55,31.76893
1.6,32.52076
1.65,33.10811
1.7,33.54654
1.75,33.83237
1.8,33.9694
1.85,34.60433
1.9,35.44159
1.95,36.12363
2,36.79618
2.05,37.55078
2.1,38.19084
2.15,38.55692
2.2,38.61037
2.25,38.35903
2.3,37.84958
2.35,37.16275
2.4,36.37623
2.45,35.53289
2.5,34.65361
2.55,33.75936
2.6,32.8703
2.65,32.00435
2.7,31.17862
2.75,30.40096
2.8,29.67423
2.85,28.99418
2.9,28.35382
2.95,27.74393
3,27.15894
3.05,26.60199
3.1,26.07836
3.15,25.57042
3.2,25.05699
3.25,24.52614
3.3,23.97355
3.35,24.28505
3.4,24.84879
3.45,25.3121
3.5,25.69994
3.55,26.04059
3.6,26.38955
3.65,26.7496
3.7,27.07405
3.75,27.36442
3.8,27.63229
3.85,27.89136
3.9,28.15576
3.95,28.43814
4,28.74781
