Period [sec],Damp.=5.0%
0,0
0.05,0.00043
0.1,0.00183
0.15,0.00254
0.2,0.00211
0.25,0.00389
0.3,0.00643
0.35,0.00858
0.4,0.0136
0.45,0.01301
0.5,0.01255
0.55,0.01004
0.6,0.0077
0.65,0.0063
0.7,0.00682
0.75,0.00666
0.8,0.00662
0.85,0.00554
0.9,0.00645
0.95,0.00662
1,0.00699
1.05,0.00671
1.1,0.00661
1.15,0.00698
1.2,0.00729
1.25,0.00774
1.3,0.00815
1.35,0.00843
1.4,0.00834
1.45,0.00778
1.5,0.00732
1.55,0.00817
1.6,0.00992
1.65,0.01073
1.7,0.01028
1.75,0.00841
1.8,0.00696
1.85,0.0066
1.9,0.00596
1.95,0.0059
2,0.00623
2.05,0.00635
2.1,0.00609
2.15,0.00588
2.2,0.00593
2.25,0.00585
2.3,0.00584
2.35,0.00591
2.4,0.00619
2.45,0.00673
2.5,0.00702
2.55,0.00706
2.6,0.00726
2.65,0.00715
2.7,0.00687
2.75,0.00697
2.8,0.00738
2.85,0.00731
2.9,0.00779
2.95,0.00861
3,0.00957
3.05,0.01031
3.1,0.01089
3.15,0.0109
3.2,0.01044
3.25,0.00972
3.3,0.00991
3.35,0.01065
3.4,0.01132
3.45,0.01177
3.5,0.01203
3.55,0.01277
3.6,0.01327
3.65,0.01377
3.7,0.01429
3.75,0.01471
3.8,0.01513
3.85,0.01561
3.9,0.0161
3.95,0.01649
4,0.0166
