Period [sec],Damp.=5.0%
0,0
0.05,0.00029
0.1,0.00201
0.15,0.00303
0.2,0.00339
0.25,0.00463
0.3,0.00524
0.35,0.00387
0.4,0.00362
0.45,0.00331
0.5,0.00302
0.55,0.00312
0.6,0.00362
0.65,0.00317
0.7,0.00312
0.75,0.00353
0.8,0.00385
0.85,0.00503
0.9,0.00511
0.95,0.00542
1,0.00456
1.05,0.00363
1.1,0.00354
1.15,0.0032
1.2,0.00357
1.25,0.00411
1.3,0.00402
1.35,0.00382
1.4,0.00391
1.45,0.00387
1.5,0.00362
1.55,0.00367
1.6,0.00421
1.65,0.00464
1.7,0.00439
1.75,0.00378
1.8,0.00381
1.85,0.00393
1.9,0.00433
1.95,0.00448
2,0.00445
2.05,0.00427
2.1,0.00409
2.15,0.0041
2.2,0.00431
2.25,0.00436
2.3,0.00452
2.35,0.00487
2.4,0.00523
2.45,0.00553
2.5,0.00567
2.55,0.00569
2.6,0.00564
2.65,0.00576
2.7,0.00652
2.75,0.00777
2.8,0.00892
2.85,0.00974
2.9,0.01005
2.95,0.00976
3,0.00896
3.05,0.00934
3.1,0.00982
3.15,0.01031
3.2,0.01039
3.25,0.0104
3.3,0.01038
3.35,0.01024
3.4,0.00967
3.45,0.00987
3.5,0.00999
3.55,0.01043
3.6,0.01124
3.65,0.01177
3.7,0.012
3.75,0.0121
3.8,0.01217
3.85,0.01222
3.9,0.01218
3.95,0.01199
4,0.01175
