Period [sec],Damp.=5.0%
0,0
0.05,0.00049
0.1,0.00165
0.15,0.0023
0.2,0.00248
0.25,0.00449
0.3,0.00688
0.35,0.00556
0.4,0.00459
0.45,0.00597
0.5,0.00676
0.55,0.00658
0.6,0.00823
0.65,0.00711
0.7,0.00605
0.75,0.0055
0.8,0.00574
0.85,0.00592
0.9,0.00632
0.95,0.00755
1,0.00631
1.05,0.00519
1.1,0.00519
1.15,0.005
1.2,0.00576
1.25,0.00733
1.3,0.00874
1.35,0.00856
1.4,0.00838
1.45,0.00917
1.5,0.00919
1.55,0.00742
1.6,0.00768
1.65,0.00796
1.7,0.00779
1.75,0.00739
1.8,0.00666
1.85,0.00562
1.9,0.00552
1.95,0.00544
2,0.00549
2.05,0.00535
2.1,0.00527
2.15,0.00588
2.2,0.00619
2.25,0.00606
2.3,0.00597
2.35,0.00598
2.4,0.00613
2.45,0.00644
2.5,0.00659
2.55,0.00667
2.6,0.00667
2.65,0.00672
2.7,0.00722
2.75,0.00775
2.8,0.00804
2.85,0.00795
2.9,0.00773
2.95,0.00768
3,0.00766
3.05,0.00737
3.1,0.00765
3.15,0.00777
3.2,0.00771
3.25,0.0079
3.3,0.0079
3.35,0.00805
3.4,0.00824
3.45,0.00844
3.5,0.00852
3.55,0.00835
3.6,0.00819
3.65,0.00817
3.7,0.00797
3.75,0.00839
3.8,0.00897
3.85,0.00984
3.9,0.01056
3.95,0.01119
4,0.01188
