Period [sec],Damp.=5.0%
0,0
0.05,0.22021
0.1,1.06316
0.15,4.22247
0.2,4.80059
0.25,4.67504
0.3,10.48134
0.35,10.01412
0.4,11.81491
0.45,12.08843
0.5,9.73426
0.55,7.38253
0.6,7.89663
0.65,10.11123
0.7,8.76021
0.75,11.0606
0.8,9.54871
0.85,8.80863
0.9,9.48163
0.95,12.53973
1,12.47594
1.05,11.08176
1.1,9.54935
1.15,10.78141
1.2,13.7311
1.25,14.51293
1.3,13.18954
1.35,12.71933
1.4,12.58808
1.45,11.61372
1.5,11.43061
1.55,12.09397
1.6,13.64753
1.65,14.84913
1.7,16.04975
1.75,17.11549
1.8,18.61309
1.85,19.67877
1.9,21.27957
1.95,25.53873
2,26.69129
2.05,25.20622
2.1,25.33648
2.15,26.23984
2.2,27.35885
2.25,28.27374
2.3,29.40678
2.35,30.58806
2.4,31.5987
2.45,32.40659
2.5,32.97676
2.55,33.28048
2.6,34.51647
2.65,36.87098
2.7,38.20756
2.75,40.18389
2.8,40.59231
2.85,39.53552
2.9,37.20825
2.95,34.19762
3,30.92368
3.05,27.62095
3.1,25.71057
3.15,25.09151
3.2,25.27025
3.25,25.37547
3.3,25.49453
3.35,27.15428
3.4,29.33111
3.45,31.5262
3.5,33.22195
3.55,36.12826
3.6,38.28571
3.65,39.54896
3.7,40.91322
3.75,41.593
3.8,42.24806
3.85,41.85335
3.9,41.39272
3.95,41.13703
4,40.52232
