Time [sec],Acceleration [cm/sec2]
0,0
0.01,0.00296
0.02,0.00592
0.03,0.00593
0.04,0.00593
0.05,0.00593
0.06,0.00594
0.07,0.00594
0.08,0.00594
0.09,0.00594
0.1,0.00594
0.11,0.00594
0.12,0.00594
0.13,0.00594
0.14,0.00595
0.15,0.00595
0.16,0.00595
0.17,0.00595
0.18,0.00595
0.19,0.00595
0.2,0.00595
0.21,0.00595
0.22,0.00595
0.23,0.00595
0.24,0.00595
0.25,0.00596
0.26,0.00596
0.27,0.00596
0.28,0.00597
0.29,0.00597
0.3,0.00598
0.31,0.00598
0.32,0.00599
0.33,0.006
0.34,0.00601
0.35,0.00602
0.36,0.00603
0.37,0.00604
0.38,0.00605
0.39,0.00607
0.4,0.00609
0.41,0.0061
0.42,0.00612
0.43,0.00614
0.44,0.00617
0.45,0.0062
0.46,0.00621
0.47,0.00622
0.48,0.00626
0.49,0.00628
0.5,0.0063
0.51,0.00634
0.52,0.00638
0.53,0.00641
0.54,0.00644
0.55,0.00648
0.56,0.00652
0.57,0.00659
0.58,0.00666
0.59,0.00665
0.6,0.00665
0.61,0.00676
0.62,0.00685
0.63,0.00688
0.64,0.00699
0.65,0.00708
0.66,0.00704
0.67,0.00709
0.68,0.00721
0.69,0.0072
0.7,0.00729
0.71,0.00751
0.72,0.00757
0.73,0.0076
0.74,0.00767
0.75,0.00769
0.76,0.00781
0.77,0.00801
0.78,0.00808
0.79,0.00797
0.8,0.00794
0.81,0.00817
0.82,0.00818
0.83,0.0081
0.84,0.00861
0.85,0.00869
0.86,0.00818
0.87,0.00853
0.88,0.00876
0.89,0.00827
0.9,0.00841
0.91,0.00861
0.92,0.00864
0.93,0.00941
0.94,0.00964
0.95,0.00872
0.96,0.00883
0.97,0.01006
0.98,0.01031
0.99,0.01018
1,0.01037
1.01,0.01043
1.02,0.0108
1.03,0.01038
1.04,0.01012
1.05,0.01203
1.06,0.01221
1.07,0.01027
1.08,0.01025
1.09,0.01018
1.1,0.00987
1.11,0.01105
1.12,0.01113
1.13,0.01182
1.14,0.01308
1.15,0.01005
1.16,0.00767
1.17,0.01038
1.18,0.01242
1.19,0.01205
1.2,0.0109
1.21,0.00883
1.22,0.00756
1.23,0.00902
1.24,0.01242
1.25,0.01236
1.26,0.01016
1.27,0.01368
1.28,0.01575
1.29,0.01107
1.3,0.01153
1.31,0.01558
1.32,0.01193
1.33,0.00816
1.34,0.01305
1.35,0.01696
1.36,0.01329
1.37,0.00982
1.38,0.01061
1.39,0.01517
1.4,0.02048
1.41,0.01812
1.42,0.01351
1.43,0.01384
1.44,0.01305
1.45,0.01314
1.46,0.01141
1.47,0.0077
1.48,0.01304
1.49,0.01656
1.5,0.01406
1.51,0.01185
1.52,0.00849
1.53,0.01569
1.54,0.01767
1.55,0.00601
1.56,0.01411
1.57,0.0232
1.58,0.01223
1.59,0.00945
1.6,0.01191
1.61,0.01378
1.62,0.01841
1.63,0.00743
1.64,-0.0031
1.65,0.01184
1.66,0.01988
1.67,0.00476
1.68,0.00792
1.69,0.02529
1.7,0.01668
1.71,0.00676
1.72,0.01084
1.73,0.00149
1.74,-0.00353
1.75,0.00368
1.76,-0.00031
1.77,-0.00112
1.78,0.00802
1.79,0.01137
1.8,0.00929
1.81,0.01011
1.82,0.01852
1.83,0.016
1.84,-0.00112
1.85,-0.00208
1.86,0.01058
1.87,0.01498
1.88,0.01132
1.89,0.00552
1.9,-0.0061
1.91,-0.0263
1.92,-0.02618
1.93,0.00442
1.94,0.02213
1.95,0.00668
1.96,-0.01839
1.97,-0.01659
1.98,0.00793
1.99,0.00098
2,-0.01401
2.01,0.01026
2.02,0.02028
2.03,0.01256
2.04,0.01588
2.05,-0.00585
2.06,-0.01468
2.07,0.00431
2.08,-0.00633
2.09,-0.01062
2.1,0.00003
2.11,-0.0071
2.12,-0.00049
2.13,0.00123
2.14,-0.0148
2.15,-0.01105
2.16,-0.01228
2.17,-0.02067
2.18,-0.01012
2.19,0.00006
2.2,0.00779
2.21,-0.00468
2.22,-0.01946
2.23,0.00706
2.24,0.00204
2.25,-0.02151
2.26,-0.0034
2.27,-0.01746
2.28,-0.01678
2.29,0.03259
2.3,0.02831
2.31,0.01621
2.32,0.02323
2.33,-0.00073
2.34,-0.01314
2.35,-0.01666
2.36,-0.01548
2.37,0.01259
2.38,0.01065
2.39,-0.02973
2.4,-0.03973
2.41,-0.00487
2.42,0.0067
2.43,-0.02733
2.44,-0.04568
2.45,-0.05082
2.46,-0.04122
2.47,0.01217
2.48,0.02387
2.49,-0.01622
2.5,-0.00622
2.51,0.02945
2.52,0.03415
2.53,0.01432
2.54,-0.00806
2.55,-0.01227
2.56,-0.02953
2.57,-0.04154
