Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.00179
0.02,-0.00359
0.03,-0.00359
0.04,-0.00359
0.05,-0.00358
0.06,-0.00358
0.07,-0.00358
0.08,-0.00358
0.09,-0.00358
0.1,-0.00358
0.11,-0.00357
0.12,-0.00357
0.13,-0.00357
0.14,-0.00357
0.15,-0.00357
0.16,-0.00356
0.17,-0.00356
0.18,-0.00356
0.19,-0.00355
0.2,-0.00355
0.21,-0.00355
0.22,-0.00354
0.23,-0.00354
0.24,-0.00354
0.25,-0.00353
0.26,-0.00353
0.27,-0.00352
0.28,-0.00352
0.29,-0.00352
0.3,-0.00351
0.31,-0.00351
0.32,-0.0035
0.33,-0.0035
0.34,-0.00349
0.35,-0.00349
0.36,-0.00349
0.37,-0.00348
0.38,-0.00348
0.39,-0.00347
0.4,-0.00347
0.41,-0.00346
0.42,-0.00346
0.43,-0.00345
0.44,-0.00345
0.45,-0.00344
0.46,-0.00344
0.47,-0.00343
0.48,-0.00343
0.49,-0.00342
0.5,-0.00341
0.51,-0.00341
0.52,-0.0034
0.53,-0.0034
0.54,-0.00339
0.55,-0.00339
0.56,-0.00338
0.57,-0.00338
0.58,-0.00337
0.59,-0.00336
0.6,-0.00336
0.61,-0.00335
0.62,-0.00334
0.63,-0.00334
0.64,-0.00333
0.65,-0.00333
0.66,-0.00332
0.67,-0.00332
0.68,-0.00331
0.69,-0.0033
0.7,-0.0033
0.71,-0.0033
0.72,-0.00329
0.73,-0.00328
0.74,-0.00328
0.75,-0.00327
0.76,-0.00327
0.77,-0.00326
0.78,-0.00325
0.79,-0.00325
0.8,-0.00324
0.81,-0.00323
0.82,-0.00323
0.83,-0.00323
0.84,-0.00323
0.85,-0.00323
0.86,-0.00321
0.87,-0.00321
0.88,-0.0032
0.89,-0.0032
0.9,-0.0032
0.91,-0.00319
0.92,-0.00318
0.93,-0.00318
0.94,-0.00317
0.95,-0.00318
0.96,-0.00319
0.97,-0.00317
0.98,-0.00317
0.99,-0.00316
1,-0.00315
1.01,-0.00316
1.02,-0.00316
1.03,-0.00317
1.04,-0.00318
1.05,-0.00315
1.06,-0.00318
1.07,-0.00322
1.08,-0.00315
1.09,-0.00307
1.1,-0.00311
1.11,-0.0032
1.12,-0.00319
1.13,-0.00315
1.14,-0.0032
1.15,-0.00318
1.16,-0.00311
1.17,-0.00311
1.18,-0.0031
1.19,-0.00313
1.2,-0.00313
1.21,-0.00306
1.22,-0.00316
1.23,-0.0032
1.24,-0.00302
1.25,-0.00303
1.26,-0.00319
1.27,-0.00323
1.28,-0.00311
1.29,-0.00293
1.3,-0.00298
1.31,-0.00317
1.32,-0.0032
1.33,-0.00324
1.34,-0.00324
1.35,-0.00307
1.36,-0.00306
1.37,-0.00315
1.38,-0.00307
1.39,-0.00301
1.4,-0.00309
1.41,-0.00323
1.42,-0.00326
1.43,-0.00307
1.44,-0.00298
1.45,-0.00317
1.46,-0.00319
1.47,-0.00291
1.48,-0.00287
1.49,-0.00318
1.5,-0.0033
1.51,-0.00325
1.52,-0.00319
1.53,-0.00327
1.54,-0.00362
1.55,-0.00336
1.56,-0.00273
1.57,-0.00314
1.58,-0.00327
1.59,-0.00248
1.6,-0.0029
1.61,-0.00348
1.62,-0.00278
1.63,-0.00286
1.64,-0.00336
1.65,-0.00282
1.66,-0.00286
1.67,-0.00336
1.68,-0.00306
1.69,-0.00299
1.7,-0.00323
1.71,-0.00306
1.72,-0.00315
1.73,-0.00343
1.74,-0.00317
1.75,-0.00272
1.76,-0.00299
1.77,-0.00382
1.78,-0.00411
1.79,-0.00405
1.8,-0.00417
1.81,-0.00396
1.82,-0.00316
1.83,-0.00217
1.84,-0.00237
1.85,-0.00349
1.86,-0.00339
1.87,-0.00294
1.88,-0.00357
1.89,-0.00431
1.9,-0.00464
1.91,-0.00406
1.92,-0.00329
1.93,-0.00312
1.94,-0.003
1.95,-0.00363
1.96,-0.00335
1.97,-0.00205
1.98,-0.00392
1.99,-0.00549
2,-0.00294
2.01,-0.00116
2.02,-0.0018
2.03,-0.00341
2.04,-0.00524
2.05,-0.0046
2.06,-0.003
2.07,-0.00394
2.08,-0.00457
2.09,-0.00224
2.1,-0.00091
2.11,-0.00296
2.12,-0.00375
2.13,-0.00103
2.14,-0.00035
2.15,-0.0038
2.16,-0.00617
2.17,-0.00537
2.18,-0.00293
2.19,-0.00049
2.2,-0.00126
2.21,-0.00357
2.22,-0.00235
2.23,-0.00099
2.24,-0.00314
2.25,-0.00385
2.26,-0.00222
2.27,-0.00137
2.28,-0.00021
2.29,-0.00068
2.3,-0.00353
2.31,-0.00318
2.32,-0.00144
2.33,-0.00409
2.34,-0.00681
2.35,-0.00387
2.36,-0.00146
2.37,-0.00414
2.38,-0.00218
2.39,0.00385
2.4,0.00103
2.41,-0.00281
2.42,0.00154
2.43,0.00154
2.44,-0.00225
2.45,-0.0004
2.46,-0.00113
2.47,-0.00413
