Time [sec],Acceleration [cm/sec2]
2.95,15.09596
2.96,12.19181
2.97,12.2421
2.98,13.9476
2.99,16.32848
3,20.05436
3.01,20.55304
3.02,17.27663
3.03,15.3493
3.04,14.13059
3.05,12.12505
3.06,9.92331
3.07,7.67453
3.08,8.9317
3.09,12.49682
3.1,11.64297
3.11,7.96046
3.12,5.77108
3.13,4.56456
3.14,4.61065
3.15,5.84662
3.16,7.8104
3.17,10.631
3.18,13.36018
3.19,16.50846
3.2,18.40201
3.21,17.93569
3.22,19.43543
3.23,20.94691
3.24,20.41595
3.25,24.01972
3.26,28.9986
3.27,28.69789
3.28,25.65297
3.29,21.88656
3.3,18.32145
3.31,16.16414
3.32,14.55204
3.33,15.25867
3.34,16.53373
3.35,14.62663
3.36,13.42169
3.37,13.30923
3.38,11.48273
3.39,10.728
3.4,10.13979
3.41,9.86916
3.42,13.50649
3.43,15.73563
3.44,14.36016
3.45,15.2742
3.46,16.13293
3.47,13.17474
3.48,10.17348
3.49,9.2162
3.5,9.15901
3.51,8.29726
3.52,6.60754
3.53,7.29439
3.54,9.4243
3.55,9.07278
3.56,5.90618
3.57,0.56852
3.58,-3.53744
3.59,-2.89062
3.6,-1.85663
3.61,-4.3595
3.62,-5.84405
3.63,-2.66397
3.64,0.16603
3.65,-1.04025
3.66,-1.10539
3.67,2.11176
3.68,4.34694
3.69,4.37639
3.7,3.88855
3.71,4.11631
3.72,4.37408
3.73,3.90974
3.74,3.13906
3.75,0.58027
3.76,-1.77794
3.77,0.04972
3.78,1.76968
3.79,-0.1713
3.8,-1.62746
3.81,-1.85885
3.82,-4.38068
3.83,-8.79769
3.84,-10.82958
3.85,-8.08971
3.86,-4.45165
3.87,-3.27557
3.88,-1.68242
3.89,-0.28853
3.9,-0.52294
3.91,3.29261
3.92,9.83662
3.93,11.69065
3.94,10.21814
3.95,9.12967
3.96,9.80184
3.97,12.98474
3.98,14.96992
3.99,13.73851
4,12.22001
4.01,9.95666
4.02,6.60169
4.03,5.18923
4.04,3.56338
4.05,-0.42721
4.06,-3.39912
4.07,-5.3481
4.08,-6.88169
4.09,-6.50521
4.1,-6.9162
4.11,-8.00117
4.12,-5.72955
4.13,-1.67136
4.14,1.62362
4.15,3.94027
4.16,4.95838
4.17,6.11107
4.18,7.26072
4.19,7.88624
4.2,9.12262
4.21,8.93453
4.22,6.88671
4.23,5.00893
4.24,4.4042
4.25,7.48386
4.26,10.85295
4.27,9.82113
4.28,8.54765
4.29,8.39311
4.3,6.11456
4.31,2.03416
4.32,-2.5312
4.33,-6.00995
4.34,-8.48858
4.35,-11.69007
4.36,-14.1341
4.37,-14.3151
4.38,-13.14693
4.39,-11.7772
4.4,-11.57509
4.41,-12.07533
4.42,-11.81099
4.43,-11.49007
4.44,-10.78473
4.45,-8.77534
4.46,-7.21915
4.47,-6.76858
4.48,-6.79735
4.49,-7.9349
4.5,-9.4227
4.51,-10.4644
4.52,-12.87811
4.53,-16.31852
4.54,-19.32264
4.55,-24.4847
4.56,-30.6367
4.57,-33.65903
4.58,-35.93381
4.59,-38.86603
4.6,-42.27749
4.61,-47.29323
4.62,-49.78555
4.63,-49.0601
4.64,-50.44245
4.65,-52.98304
4.66,-52.02978
4.67,-48.20464
4.68,-45.75436
4.69,-45.46284
4.7,-45.42616
4.71,-45.46339
4.72,-45.44928
4.73,-45.36771
4.74,-45.42098
4.75,-44.5146
4.76,-42.01151
4.77,-38.96945
4.78,-37.51607
4.79,-37.75481
4.8,-36.60669
4.81,-33.27889
4.82,-30.89177
4.83,-30.09875
4.84,-28.51068
4.85,-26.6343
4.86,-25.66936
4.87,-25.05296
4.88,-26.03805
4.89,-27.9325
4.9,-27.87363
4.91,-27.9401
4.92,-29.91147
4.93,-30.6503
4.94,-29.58125
4.95,-28.11152
4.96,-25.10322
4.97,-20.85861
4.98,-16.81
4.99,-13.18737
5,-11.59798
5.01,-14.0796
5.02,-19.34655
5.03,-23.17966
5.04,-26.25519
5.05,-31.39757
5.06,-35.26802
5.07,-39.49822
5.08,-45.7789
5.09,-46.54377
5.1,-45.21219
5.11,-48.98603
5.12,-52.52199
5.13,-54.68261
5.14,-58.14663
5.15,-59.85721
5.16,-59.2472
5.17,-59.7104
5.18,-61.57752
5.19,-61.86862
5.2,-62.61535
5.21,-66.31443
5.22,-66.87663
5.23,-62.88915
5.24,-59.24238
5.25,-56.27315
5.26,-55.37949
5.27,-55.20865
5.28,-51.3781
5.29,-47.11975
5.3,-42.44323
5.31,-34.78399
5.32,-29.59932
5.33,-26.41274
5.34,-20.03235
5.35,-12.47005
5.36,-4.81308
5.37,3.82374
5.38,12.78573
5.39,21.27076
5.4,26.82757
5.41,29.54944
5.42,30.23087
5.43,26.81821
5.44,20.70625
5.45,12.33259
5.46,-0.12948
5.47,-14.46996
5.48,-29.20988
5.49,-39.74432
5.5,-41.07945
5.51,-40.76261
5.52,-44.0501
5.53,-46.50607
5.54,-48.95696
5.55,-54.99721
5.56,-63.17159
5.57,-69.99405
5.58,-74.49145
5.59,-77.08312
5.6,-77.43782
5.61,-78.06285
5.62,-79.94289
5.63,-79.68063
5.64,-77.79568
5.65,-74.38326
5.66,-66.02999
5.67,-54.16968
5.68,-41.06082
5.69,-27.89525
5.7,-18.80939
5.71,-15.63256
5.72,-17.27704
5.73,-20.41133
5.74,-19.98463
5.75,-15.5614
5.76,-7.65458
5.77,4.49042
5.78,16.42344
5.79,25.05693
5.8,34.74322
5.81,45.80222
5.82,52.18937
5.83,54.56893
5.84,55.86496
5.85,51.79865
5.86,40.60963
5.87,23.85073
5.88,1.98802
5.89,-19.91758
5.9,-36.69106
5.91,-47.58895
5.92,-54.91857
5.93,-62.95967
5.94,-69.79842
5.95,-71.54728
5.96,-71.58348
5.97,-70.65452
5.98,-67.2746
5.99,-66.28294
6,-68.60272
6.01,-70.78588
6.02,-73.16495
6.03,-73.60754
6.04,-69.95033
6.05,-63.72569
6.06,-54.69154
6.07,-45.00241
6.08,-37.27125
6.09,-28.46039
6.1,-17.34652
6.11,-7.60632
6.12,-0.73853
6.13,6.69992
6.14,16.54076
6.15,25.42542
6.16,29.79485
6.17,28.81881
6.18,22.17449
6.19,8.04487
6.2,-9.69909
6.21,-21.16305
6.22,-25.00689
6.23,-24.35961
6.24,-17.45356
6.25,-7.10577
6.26,0.75434
6.27,5.96975
6.28,11.65044
6.29,21.0343
6.3,31.81653
6.31,37.5949
6.32,37.9856
6.33,33.6721
6.34,25.26612
6.35,19.61751
6.36,17.56408
6.37,12.07899
6.38,2.51807
6.39,-8.19651
6.4,-17.35275
6.41,-20.95663
6.42,-21.12144
6.43,-22.9626
6.44,-26.98399
6.45,-34.00901
6.46,-43.86244
6.47,-50.25109
6.48,-47.50511
6.49,-39.33796
6.5,-33.5353
6.51,-31.38753
6.52,-31.36384
6.53,-31.80673
6.54,-29.4123
6.55,-23.18961
6.56,-10.26149
6.57,11.4019
6.58,35.61477
6.59,56.97613
6.6,72.70101
6.61,81.28377
6.62,85.98686
6.63,88.02259
6.64,89.04169
6.65,92.13055
6.66,94.51497
6.67,98.06844
6.68,105.09253
6.69,109.37274
6.7,112.68591
6.71,118.46184
6.72,122.52224
6.73,126.05539
6.74,129.79516
6.75,131.22861
6.76,130.29371
6.77,126.07134
6.78,118.62271
6.79,100.47698
6.8,64.40654
6.81,27.15299
6.82,2.96237
6.83,-18.42942
6.84,-40.64062
6.85,-53.4248
6.86,-60.73552
6.87,-74.47908
6.88,-86.69243
6.89,-87.75413
6.9,-86.82391
6.91,-89.62221
6.92,-91.5849
6.93,-87.85872
6.94,-81.73588
6.95,-81.90137
6.96,-81.05749
6.97,-74.10994
6.98,-73.59879
6.99,-76.92819
7,-69.26249
7.01,-44.40878
7.02,-10.26198
7.03,9.67897
7.04,12.92821
7.05,18.87083
7.06,24.00924
7.07,21.75996
7.08,20.36264
7.09,18.96011
7.1,14.84762
7.11,8.37519
7.12,-1.77028
7.13,-9.64057
7.14,-8.89945
7.15,-1.36467
7.16,7.55982
7.17,16.61548
7.18,28.0257
7.19,36.67976
7.2,39.94636
7.21,45.61525
7.22,53.77481
7.23,61.0436
7.24,71.21194
7.25,82.21351
7.26,88.78107
7.27,91.06984
7.28,89.47735
7.29,84.86415
7.3,79.76776
7.31,76.81652
7.32,74.07241
7.33,64.74839
7.34,48.35915
7.35,27.48619
7.36,1.64339
7.37,-22.42919
7.38,-36.018
7.39,-41.80557
7.4,-45.66423
7.41,-47.36518
7.42,-44.93783
7.43,-39.58596
7.44,-35.92009
7.45,-34.0761
7.46,-26.74695
7.47,-13.36592
7.48,1.59503
7.49,20.3977
7.5,39.82626
7.51,52.27508
7.52,60.20395
7.53,62.34679
7.54,51.82163
7.55,35.35964
7.56,23.915
7.57,19.03426
7.58,18.73182
7.59,18.53232
7.6,14.5147
7.61,8.42003
7.62,3.85197
7.63,3.14251
7.64,5.21234
7.65,7.40725
7.66,9.66056
7.67,12.399
7.68,15.23005
7.69,18.86748
7.7,25.84606
7.71,34.91821
7.72,39.41384
7.73,38.96841
7.74,39.10931
7.75,40.84252
7.76,43.90476
7.77,48.57113
7.78,52.62208
7.79,55.13197
7.8,57.09354
7.81,57.90221
7.82,55.65777
7.83,50.82985
7.84,49.12112
7.85,52.90975
7.86,54.65072
7.87,50.01114
7.88,41.14311
7.89,27.05783
7.9,9.16093
7.91,-5.56496
7.92,-13.22011
7.93,-16.49714
7.94,-18.70629
7.95,-17.44905
7.96,-11.20618
7.97,-2.96662
7.98,6.23792
7.99,15.49179
8,23.26085
8.01,28.47549
8.02,28.68188
8.03,24.94317
8.04,19.65148
8.05,12.96036
8.06,6.46009
8.07,-2.68757
8.08,-17.58488
8.09,-30.57795
8.1,-36.44302
8.11,-38.96367
8.12,-39.96587
8.13,-39.1529
8.14,-34.6249
8.15,-23.89375
8.16,-6.82911
8.17,19.51444
8.18,51.10856
8.19,72.7257
8.2,83.49505
8.21,93.74974
8.22,101.52809
8.23,104.00901
8.24,101.77299
8.25,85.32635
8.26,50.39093
8.27,14.87468
8.28,-1.97276
8.29,-4.99735
8.3,-5.51467
8.31,-2.24923
8.32,3.30375
8.33,13.4917
8.34,35.0939
8.35,54.07813
8.36,57.74567
8.37,50.77762
8.38,34.48099
8.39,10.91086
8.4,-13.78063
8.41,-31.77557
8.42,-37.23548
8.43,-38.12579
8.44,-40.47982
8.45,-39.89917
8.46,-35.20396
8.47,-27.96862
8.48,-23.20218
8.49,-25.05035
8.5,-31.94611
8.51,-41.84338
8.52,-47.12131
8.53,-43.91004
8.54,-40.19992
8.55,-36.46502
8.56,-30.02408
8.57,-25.98724
8.58,-25.14425
8.59,-27.36993
8.6,-33.58962
8.61,-39.51022
8.62,-44.63701
8.63,-48.52528
