Time [sec],Acceleration [cm/sec2]
3.36,-0.95777
3.37,-0.7847
3.38,-2.03398
3.39,-2.56257
3.4,-1.06077
3.41,1.18368
3.42,2.71545
3.43,2.74609
3.44,2.14047
3.45,1.64993
3.46,0.03498
3.47,-2.13362
3.48,-3.24702
3.49,-3.42495
3.5,-2.10823
3.51,0.34621
3.52,1.08938
3.53,-0.49845
3.54,-1.89358
3.55,-2.96114
3.56,-4.69572
3.57,-3.923
3.58,-0.10963
3.59,2.82984
3.6,5.58469
3.61,8.07609
3.62,6.55893
3.63,2.89888
3.64,-0.4758
3.65,-3.9188
3.66,-2.95593
3.67,2.85375
3.68,5.3414
3.69,3.90069
3.7,2.97293
3.71,1.11675
3.72,-0.24091
3.73,1.27837
3.74,2.25379
3.75,2.43337
3.76,2.89149
3.77,0.75042
3.78,-2.99351
3.79,-4.13219
3.8,-3.00904
3.81,-1.99581
3.82,-0.28633
3.83,2.56941
3.84,2.49489
3.85,-2.20254
3.86,-4.57822
3.87,-0.7823
3.88,1.73338
3.89,-0.55513
3.9,-2.15788
3.91,-1.48967
3.92,-0.63777
3.93,-0.55308
3.94,-1.10891
3.95,-1.2025
3.96,-1.59969
3.97,-0.5356
3.98,3.64259
3.99,4.08278
4,0.07119
4.01,-1.42777
4.02,-2.2597
4.03,-3.38119
4.04,-1.44157
4.05,0.59959
4.06,0.93837
4.07,0.8745
4.08,0.56732
4.09,0.40986
4.1,-0.49414
4.11,-1.25717
4.12,-1.63199
4.13,-2.59248
4.14,0.19855
4.15,4.57013
4.16,3.24101
4.17,0.05087
4.18,-1.69379
4.19,-3.53948
4.2,-3.05588
4.21,-0.84687
4.22,1.28855
4.23,3.26075
4.24,2.19339
4.25,-0.42167
4.26,-0.78995
4.27,-0.22714
4.28,0.33578
4.29,0.33433
4.3,-0.81667
4.31,-0.76118
4.32,0.49732
4.33,0.44784
4.34,-0.14005
4.35,1.34308
4.36,3.27121
4.37,2.57008
4.38,1.75841
4.39,1.17802
4.4,-1.76946
4.41,-2.76856
4.42,-0.48775
4.43,0.03453
4.44,-0.64145
4.45,-0.36338
4.46,-0.91084
4.47,-2.14781
4.48,-1.42033
4.49,0.44418
4.5,0.52084
4.51,-0.59332
4.52,-1.54457
4.53,-1.80915
4.54,-0.75554
4.55,0.24359
4.56,0.88858
4.57,1.86444
4.58,2.09907
4.59,2.10122
4.6,1.26467
4.61,-1.26708
4.62,-1.50885
4.63,-0.26395
4.64,-1.2109
4.65,-1.06416
4.66,0.01663
4.67,0.02425
4.68,0.49613
4.69,-1.0521
4.7,-1.95033
4.71,0.78015
4.72,0.16433
4.73,-1.23114
4.74,1.44496
4.75,1.85515
4.76,0.85713
4.77,1.69108
4.78,1.61947
4.79,1.14043
4.8,0.52126
4.81,0.0136
4.82,0.09206
4.83,-0.91871
4.84,-1.04428
4.85,0.49572
4.86,0.67293
4.87,0.07386
