Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.03247
0.02,-0.0649
0.03,-0.06484
0.04,-0.06478
0.05,-0.06472
0.06,-0.06465
0.07,-0.06459
0.08,-0.06451
0.09,-0.06444
0.1,-0.06437
0.11,-0.06429
0.12,-0.06421
0.13,-0.06413
0.14,-0.06404
0.15,-0.06395
0.16,-0.06387
0.17,-0.06377
0.18,-0.06368
0.19,-0.06358
0.2,-0.06348
0.21,-0.06338
0.22,-0.06328
0.23,-0.06317
0.24,-0.06306
0.25,-0.06295
0.26,-0.06284
0.27,-0.06272
0.28,-0.0626
0.29,-0.06248
0.3,-0.06236
0.31,-0.06223
0.32,-0.0621
0.33,-0.06197
0.34,-0.06183
0.35,-0.0617
0.36,-0.06156
0.37,-0.06141
0.38,-0.06127
0.39,-0.06112
0.4,-0.06097
0.41,-0.06082
0.42,-0.06066
0.43,-0.0605
0.44,-0.06034
0.45,-0.06018
0.46,-0.06001
0.47,-0.05984
0.48,-0.05967
0.49,-0.0595
0.5,-0.05932
0.51,-0.05914
0.52,-0.05895
0.53,-0.05877
0.54,-0.05858
0.55,-0.05838
0.56,-0.05819
0.57,-0.05799
0.58,-0.05779
0.59,-0.05758
0.6,-0.05738
0.61,-0.05717
0.62,-0.05695
0.63,-0.05674
0.64,-0.05652
0.65,-0.05629
0.66,-0.05607
0.67,-0.05584
0.68,-0.05561
0.69,-0.05537
0.7,-0.05513
0.71,-0.05489
0.72,-0.05464
0.73,-0.05439
0.74,-0.05414
0.75,-0.05389
0.76,-0.05363
0.77,-0.05336
0.78,-0.0531
0.79,-0.05283
0.8,-0.05256
0.81,-0.05228
0.82,-0.052
0.83,-0.05172
0.84,-0.05144
0.85,-0.05115
0.86,-0.05085
0.87,-0.05056
0.88,-0.05026
0.89,-0.04995
0.9,-0.04965
0.91,-0.04934
0.92,-0.04902
0.93,-0.0487
0.94,-0.04838
0.95,-0.04806
0.96,-0.04773
0.97,-0.0474
0.98,-0.04707
0.99,-0.04673
1,-0.04638
1.01,-0.04603
1.02,-0.04568
1.03,-0.04533
1.04,-0.04498
1.05,-0.04461
1.06,-0.04425
1.07,-0.04388
1.08,-0.04351
1.09,-0.04313
1.1,-0.04276
1.11,-0.04238
1.12,-0.04199
1.13,-0.0416
1.14,-0.0412
1.15,-0.0408
1.16,-0.04041
1.17,-0.04001
1.18,-0.0396
1.19,-0.03919
1.2,-0.03878
1.21,-0.03836
1.22,-0.03794
1.23,-0.03751
1.24,-0.03708
1.25,-0.03665
1.26,-0.03621
1.27,-0.03577
1.28,-0.03533
1.29,-0.03489
1.3,-0.03444
1.31,-0.03399
1.32,-0.03354
1.33,-0.03308
1.34,-0.03262
1.35,-0.03215
1.36,-0.03167
1.37,-0.03121
1.38,-0.03074
1.39,-0.03027
1.4,-0.02979
1.41,-0.0293
1.42,-0.02882
1.43,-0.02832
1.44,-0.02783
1.45,-0.02733
1.46,-0.02684
1.47,-0.02634
1.48,-0.02583
1.49,-0.0253
1.5,-0.02479
1.51,-0.02429
1.52,-0.02379
1.53,-0.02328
1.54,-0.02277
1.55,-0.02225
1.56,-0.0217
1.57,-0.02117
1.58,-0.02064
1.59,-0.0201
1.6,-0.01958
1.61,-0.01908
1.62,-0.01857
1.63,-0.01804
1.64,-0.01749
1.65,-0.01692
1.66,-0.01636
1.67,-0.01582
1.68,-0.01529
1.69,-0.01476
1.7,-0.01421
1.71,-0.01364
1.72,-0.01306
1.73,-0.01251
1.74,-0.01197
1.75,-0.01144
1.76,-0.01087
1.77,-0.01029
1.78,-0.00972
1.79,-0.00918
1.8,-0.00863
1.81,-0.00805
1.82,-0.00748
1.83,-0.00693
1.84,-0.0064
1.85,-0.00582
1.86,-0.00519
1.87,-0.00456
1.88,-0.00399
1.89,-0.00352
1.9,-0.00302
1.91,-0.00241
1.92,-0.00178
1.93,-0.00125
1.94,-0.00073
1.95,-0.00014
1.96,0.00046
1.97,0.00097
1.98,0.00144
1.99,0.00198
2,0.00259
2.01,0.00318
2.02,0.00376
2.03,0.0044
2.04,0.00501
2.05,0.00551
2.06,0.00597
2.07,0.00648
2.08,0.00704
2.09,0.00758
2.1,0.00813
2.11,0.00875
2.12,0.00934
2.13,0.00986
2.14,0.01043
2.15,0.01104
2.16,0.01152
2.17,0.01187
2.18,0.01232
2.19,0.0129
2.2,0.01345
2.21,0.01405
2.22,0.01468
2.23,0.01513
2.24,0.01546
2.25,0.01595
2.26,0.01654
2.27,0.01703
2.28,0.01756
2.29,0.01823
2.3,0.01879
2.31,0.01925
2.32,0.01973
2.33,0.02012
2.34,0.02046
2.35,0.02089
2.36,0.02134
2.37,0.02184
2.38,0.02246
2.39,0.02291
2.4,0.02327
2.41,0.02389
2.42,0.02453
2.43,0.02483
2.44,0.02502
2.45,0.0254
2.46,0.02585
2.47,0.02622
2.48,0.02662
2.49,0.02725
2.5,0.02789
2.51,0.02834
2.52,0.02875
2.53,0.02913
2.54,0.02943
2.55,0.02965
2.56,0.02978
2.57,0.02998
2.58,0.03048
2.59,0.03105
2.6,0.03141
2.61,0.03176
2.62,0.03218
2.63,0.03259
2.64,0.03294
2.65,0.03304
2.66,0.03293
2.67,0.03304
2.68,0.0335
2.69,0.03404
2.7,0.03455
2.71,0.03501
2.72,0.03525
2.73,0.03532
2.74,0.03545
2.75,0.03567
2.76,0.03598
2.77,0.03647
2.78,0.0368
2.79,0.03664
2.8,0.03659
2.81,0.03709
2.82,0.03757
2.83,0.03769
2.84,0.03773
2.85,0.03778
2.86,0.03793
2.87,0.03835
2.88,0.03877
2.89,0.03885
2.9,0.03881
2.91,0.0389
2.92,0.03899
2.93,0.03908
2.94,0.03958
2.95,0.04041
2.96,0.04072
2.97,0.04002
2.98,0.03904
2.99,0.03888
3,0.0396
3.01,0.04045
3.02,0.04107
3.03,0.04158
3.04,0.04157
3.05,0.04073
3.06,0.03981
3.07,0.03966
3.08,0.04013
3.09,0.04076
3.1,0.04119
3.11,0.04118
3.12,0.04093
3.13,0.04075
3.14,0.04071
3.15,0.04075
3.16,0.04086
3.17,0.0407
3.18,0.04017
3.19,0.04027
3.2,0.04131
3.21,0.04189
3.22,0.04141
3.23,0.04078
3.24,0.04037
3.25,0.04018
3.26,0.04039
3.27,0.04066
3.28,0.04058
3.29,0.04014
3.3,0.03981
3.31,0.04008
3.32,0.04031
3.33,0.03968
3.34,0.03901
3.35,0.03906
3.36,0.03915
3.37,0.03865
3.38,0.03808
3.39,0.03819
3.4,0.03867
3.41,0.03851
3.42,0.03763
3.43,0.03707
3.44,0.03719
3.45,0.03707
3.46,0.03647
3.47,0.03648
3.48,0.03704
3.49,0.03671
3.5,0.03586
3.51,0.03614
3.52,0.03686
3.53,0.03635
3.54,0.03554
3.55,0.03582
3.56,0.036
3.57,0.03505
3.58,0.0342
3.59,0.03396
3.6,0.03341
3.61,0.03287
3.62,0.03332
3.63,0.0342
3.64,0.0343
3.65,0.03345
3.66,0.03233
3.67,0.03202
3.68,0.03284
3.69,0.03333
3.7,0.03236
3.71,0.03136
3.72,0.0315
3.73,0.03153
3.74,0.03073
3.75,0.02996
3.76,0.02911
3.77,0.02796
3.78,0.0278
3.79,0.02917
3.8,0.03049
3.81,0.03001
3.82,0.02784
3.83,0.02602
3.84,0.02591
3.85,0.0267
3.86,0.02748
3.87,0.02789
3.88,0.02695
3.89,0.02543
3.9,0.02539
3.91,0.02559
3.92,0.02441
3.93,0.02414
3.94,0.02589
3.95,0.02696
3.96,0.02568
3.97,0.02323
3.98,0.0212
3.99,0.01993
4,0.0194
4.01,0.02064
4.02,0.02253
4.03,0.02224
4.04,0.02074
4.05,0.02021
4.06,0.01977
4.07,0.01913
4.08,0.01925
4.09,0.01971
4.1,0.01973
4.11,0.0191
4.12,0.01858
4.13,0.01927
4.14,0.02034
4.15,0.02014
4.16,0.01862
4.17,0.01721
4.18,0.01822
4.19,0.02142
4.2,0.02201
4.21,0.0181
4.22,0.01467
4.23,0.01495
4.24,0.0166
4.25,0.01839
4.26,0.02027
4.27,0.01895
4.28,0.01435
4.29,0.01234
4.3,0.01384
4.31,0.01442
4.32,0.01465
4.33,0.01625
4.34,0.01587
4.35,0.01297
4.36,0.01224
4.37,0.01466
4.38,0.01657
4.39,0.01666
4.4,0.01644
4.41,0.01619
4.42,0.01499
4.43,0.01314
4.44,0.01198
4.45,0.01192
4.46,0.01195
4.47,0.01168
4.48,0.0125
4.49,0.01416
4.5,0.01456
4.51,0.01404
4.52,0.01346
4.53,0.0121
4.54,0.0113
4.55,0.01184
4.56,0.01148
4.57,0.01048
4.58,0.01034
4.59,0.01012
4.6,0.01023
4.61,0.01173
4.62,0.0135
4.63,0.01502
4.64,0.01532
4.65,0.01229
4.66,0.00822
4.67,0.008
4.68,0.01165
4.69,0.01507
4.7,0.01518
4.71,0.01249
4.72,0.01065
4.73,0.01104
4.74,0.01057
4.75,0.00845
4.76,0.00821
4.77,0.01092
4.78,0.01401
4.79,0.01547
4.8,0.01495
4.81,0.01309
4.82,0.01086
4.83,0.00956
4.84,0.01037
4.85,0.0124
4.86,0.01397
4.87,0.01416
4.88,0.01217
4.89,0.01017
4.9,0.01157
4.91,0.01434
4.92,0.01497
4.93,0.01438
4.94,0.01384
4.95,0.01322
4.96,0.01329
4.97,0.01389
4.98,0.0135
4.99,0.01306
5,0.01446
5.01,0.01592
5.02,0.0153
5.03,0.01527
5.04,0.01722
5.05,0.01785
5.06,0.01694
5.07,0.01713
5.08,0.01817
5.09,0.01896
5.1,0.01836
5.11,0.01532
5.12,0.01341
5.13,0.01604
5.14,0.01948
5.15,0.01954
5.16,0.01785
5.17,0.01792
5.18,0.02056
5.19,0.02276
5.2,0.02256
5.21,0.02259
5.22,0.0228
5.23,0.01967
5.24,0.01681
5.25,-0.00047
5.26,-0.01629
5.27,-0.0158
5.28,-0.01644
5.29,-0.01635
5.3,-0.0182
5.31,-0.02012
5.32,-0.01877
5.33,-0.01826
5.34,-0.02086
5.35,-0.0203
5.36,-0.01584
5.37,-0.01466
5.38,-0.01743
5.39,-0.0191
5.4,-0.01784
5.41,-0.01512
5.42,-0.01351
5.43,-0.01386
5.44,-0.015
5.45,-0.0164
5.46,-0.01731
5.47,-0.01682
5.48,-0.01575
5.49,-0.01496
5.5,-0.01422
5.51,-0.01339
5.52,-0.01275
5.53,-0.01246
5.54,-0.0134
5.55,-0.01612
5.56,-0.01746
5.57,-0.01454
5.58,-0.01125
5.59,-0.01174
5.6,-0.01387
5.61,-0.01476
5.62,-0.01397
5.63,-0.01234
5.64,-0.01177
5.65,-0.01235
5.66,-0.01227
5.67,-0.01166
5.68,-0.01148
5.69,-0.01107
5.7,-0.00944
5.71,-0.00713
5.72,-0.00591
5.73,-0.00666
5.74,-0.00846
5.75,-0.00983
5.76,-0.00993
5.77,-0.00912
5.78,-0.00805
5.79,-0.00696
5.8,-0.00723
5.81,-0.0093
5.82,-0.0102
5.83,-0.00888
5.84,-0.00856
5.85,-0.00986
5.86,-0.01
5.87,-0.0078
5.88,-0.00417
5.89,-0.00236
5.9,-0.0059
5.91,-0.01132
5.92,-0.01147
5.93,-0.00694
5.94,-0.00351
5.95,-0.00266
5.96,-0.00256
5.97,-0.00276
5.98,-0.00452
5.99,-0.00806
6,-0.0109
6.01,-0.01015
6.02,-0.00571
6.03,-0.00038
6.04,0.00225
6.05,0.00134
6.06,-0.0007
6.07,-0.00263
6.08,-0.00529
6.09,-0.00775
6.1,-0.00688
6.11,-0.00246
6.12,0.00155
6.13,0.00244
6.14,0.00069
6.15,-0.00264
6.16,-0.00658
6.17,-0.00932
6.18,-0.00803
6.19,-0.00258
6.2,0.00208
6.21,0.00253
6.22,0.00111
6.23,0.00025
6.24,-0.00012
6.25,-0.00051
6.26,-0.00102
6.27,-0.00079
6.28,0.00075
6.29,0.0019
6.3,0.00086
6.31,-0.00184
6.32,-0.00436
6.33,-0.00422
6.34,0.00012
6.35,0.00496
6.36,0.00507
6.37,0.00195
6.38,-0.00035
6.39,-0.00243
6.4,-0.00468
6.41,-0.00444
6.42,-0.00099
6.43,0.0036
