Time [sec],Acceleration [cm/sec2]
1.395,-8.54502
1.4,-8.80245
1.405,-8.94467
1.41,-8.9518
1.415,-8.83282
1.42,-8.64245
1.425,-8.44263
1.43,-8.29117
1.435,-8.24934
1.44,-8.36994
1.445,-8.68708
1.45,-9.21375
1.455,-9.92478
1.46,-10.72963
1.465,-11.46479
1.47,-11.93652
1.475,-12.00136
1.48,-11.61833
1.485,-10.84949
1.49,-9.83705
1.495,-8.7521
1.5,-7.7127
1.505,-6.73793
1.51,-5.8251
1.515,-5.11557
1.52,-4.93249
1.525,-5.58515
1.53,-7.12678
1.535,-9.27034
1.54,-11.50584
1.545,-13.34837
1.55,-14.55112
1.555,-15.11381
1.56,-15.15239
1.565,-14.82882
1.57,-14.32647
1.575,-13.79384
1.58,-13.30501
1.585,-12.8725
1.59,-12.49901
1.595,-12.22844
1.6,-12.14418
1.605,-12.31341
1.61,-12.74288
1.615,-13.40998
1.62,-14.3051
1.625,-15.38941
1.63,-16.5331
1.635,-17.50955
1.64,-18.02512
1.645,-17.84324
1.65,-17.00752
1.655,-15.91122
1.66,-15.08334
1.665,-14.89626
1.67,-15.38887
1.675,-16.28025
1.68,-17.17344
1.685,-17.78748
1.69,-18.01297
1.695,-17.83744
1.7,-17.32298
1.705,-16.5883
1.71,-15.69899
1.715,-14.57354
1.72,-13.04172
1.725,-11.05222
1.73,-8.83126
1.735,-6.82073
1.74,-5.50082
1.745,-5.226
1.75,-6.08385
1.755,-7.85473
1.76,-10.12461
1.765,-12.41956
1.77,-14.26067
1.775,-15.22876
1.78,-15.08815
1.785,-13.87269
1.79,-11.9083
1.795,-9.77804
1.8,-8.09532
1.805,-7.16502
1.81,-6.904
1.815,-7.06995
1.82,-7.51805
1.825,-8.31893
1.83,-9.72016
1.835,-12.00755
1.84,-15.34585
1.845,-19.63232
1.85,-24.36827
1.855,-28.66467
1.86,-31.55709
1.865,-32.45326
1.87,-31.30957
1.875,-28.56032
1.88,-25.04371
1.885,-21.83355
1.89,-19.89477
1.895,-19.80175
1.9,-21.64935
1.905,-25.10391
1.91,-29.64939
1.915,-34.83955
1.92,-40.20786
1.925,-45.14051
1.93,-49.06834
1.935,-51.60491
1.94,-52.48432
1.945,-51.64518
1.95,-49.44428
1.955,-46.71627
1.96,-44.54701
1.965,-43.86362
1.97,-45.13847
1.975,-48.32071
1.98,-52.89343
1.985,-57.99279
1.99,-62.56004
1.995,-65.57081
2,-66.32019
2.005,-64.5443
2.01,-60.35291
2.015,-54.1715
2.02,-46.65464
2.025,-38.50822
2.03,-30.34586
2.035,-22.53804
2.04,-15.08768
2.045,-7.8424
2.05,-0.91098
2.055,5.26701
2.06,10.22677
2.065,13.75984
2.07,15.99523
2.075,17.30725
2.08,18.08009
2.085,18.46968
2.09,18.3523
2.095,17.34272
2.1,14.80171
2.105,10.09152
2.11,3.05627
2.115,-5.71979
2.12,-15.17379
2.125,-24.31365
2.13,-32.5521
2.135,-39.73895
2.14,-46.11142
2.145,-52.08779
2.15,-57.89174
2.155,-63.38682
2.16,-68.20854
2.165,-71.8409
2.17,-73.62885
2.175,-72.99026
2.18,-69.75361
2.185,-64.29917
2.19,-57.21702
2.195,-48.8436
2.2,-39.37627
2.205,-29.2705
2.21,-19.36591
2.215,-10.90216
2.22,-5.34813
2.225,-3.78866
2.23,-6.26291
2.235,-11.58873
2.24,-17.85195
2.245,-23.27551
2.25,-26.82947
2.255,-28.31115
2.26,-28.09751
2.265,-26.90347
2.27,-25.60037
2.275,-24.80402
2.28,-24.58408
2.285,-24.85404
2.29,-25.81365
2.295,-27.78145
2.3,-30.88055
2.305,-34.99076
2.31,-39.83333
2.315,-45.06378
2.32,-50.30262
2.325,-55.09013
2.33,-58.91234
2.335,-61.34985
2.34,-62.09719
2.345,-60.78861
2.35,-57.00805
2.355,-50.56314
2.36,-41.60403
2.365,-30.52734
2.37,-17.9321
2.375,-4.48439
2.38,9.27705
2.385,22.74153
2.39,34.90657
2.395,44.57369
2.4,50.95714
2.405,54.19905
2.41,55.33635
2.415,55.79741
2.42,56.96302
2.425,59.76268
