Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.00311
0.02,-0.00622
0.03,-0.00622
0.04,-0.00622
0.05,-0.00621
0.06,-0.00621
0.07,-0.0062
0.08,-0.0062
0.09,-0.00619
0.1,-0.00619
0.11,-0.00618
0.12,-0.00618
0.13,-0.00617
0.14,-0.00617
0.15,-0.00616
0.16,-0.00615
0.17,-0.00614
0.18,-0.00614
0.19,-0.00613
0.2,-0.00612
0.21,-0.00611
0.22,-0.0061
0.23,-0.0061
0.24,-0.00609
0.25,-0.00608
0.26,-0.00607
0.27,-0.00606
0.28,-0.00605
0.29,-0.00604
0.3,-0.00603
0.31,-0.00602
0.32,-0.00601
0.33,-0.006
0.34,-0.00598
0.35,-0.00597
0.36,-0.00596
0.37,-0.00595
0.38,-0.00594
0.39,-0.00592
0.4,-0.00591
0.41,-0.0059
0.42,-0.00589
0.43,-0.00587
0.44,-0.00586
0.45,-0.00585
0.46,-0.00583
0.47,-0.00582
0.48,-0.00581
0.49,-0.00579
0.5,-0.00578
0.51,-0.00576
0.52,-0.00575
0.53,-0.00573
0.54,-0.00572
0.55,-0.0057
0.56,-0.00569
0.57,-0.00567
0.58,-0.00566
0.59,-0.00564
0.6,-0.00562
0.61,-0.00561
0.62,-0.00559
0.63,-0.00557
0.64,-0.00556
0.65,-0.00554
0.66,-0.00552
0.67,-0.00551
0.68,-0.00549
0.69,-0.00548
0.7,-0.00545
0.71,-0.00543
0.72,-0.00542
0.73,-0.0054
0.74,-0.00538
0.75,-0.00536
0.76,-0.00535
0.77,-0.00533
0.78,-0.00532
0.79,-0.0053
0.8,-0.00527
0.81,-0.00525
0.82,-0.00524
0.83,-0.00524
0.84,-0.00521
0.85,-0.00518
0.86,-0.00517
0.87,-0.00515
0.88,-0.00511
0.89,-0.00509
0.9,-0.00506
0.91,-0.00504
0.92,-0.00506
0.93,-0.00504
0.94,-0.00498
0.95,-0.00497
0.96,-0.005
0.97,-0.00497
0.98,-0.00492
0.99,-0.00491
1,-0.00488
1.01,-0.00484
1.02,-0.00488
1.03,-0.00485
1.04,-0.00474
1.05,-0.00475
1.06,-0.00476
1.07,-0.00467
1.08,-0.0047
1.09,-0.0047
1.1,-0.00458
1.11,-0.00458
1.12,-0.00471
1.13,-0.00472
1.14,-0.00465
1.15,-0.00464
1.16,-0.0046
1.17,-0.00449
1.18,-0.00442
1.19,-0.00441
1.2,-0.00438
1.21,-0.00444
1.22,-0.00452
1.23,-0.0045
1.24,-0.00438
1.25,-0.00432
1.26,-0.00427
1.27,-0.00428
1.28,-0.00432
1.29,-0.00414
1.3,-0.00404
1.31,-0.00424
1.32,-0.00426
1.33,-0.00413
1.34,-0.00415
1.35,-0.00431
1.36,-0.00448
1.37,-0.00419
1.38,-0.00372
1.39,-0.0039
1.4,-0.00428
1.41,-0.00422
1.42,-0.00427
1.43,-0.00441
1.44,-0.00403
1.45,-0.00381
1.46,-0.0041
1.47,-0.00411
1.48,-0.00399
1.49,-0.00401
1.5,-0.00387
1.51,-0.00388
1.52,-0.00413
1.53,-0.00421
1.54,-0.00415
1.55,-0.00388
1.56,-0.00383
1.57,-0.0045
1.58,-0.00448
1.59,-0.00347
1.6,-0.00341
1.61,-0.00367
1.62,-0.00292
1.63,-0.0026
1.64,-0.00317
1.65,-0.00314
1.66,-0.00254
1.67,-0.00256
1.68,-0.00331
1.69,-0.00377
1.7,-0.00324
1.71,-0.00255
1.72,-0.00261
1.73,-0.00282
1.74,-0.00292
1.75,-0.00315
1.76,-0.00312
1.77,-0.00351
1.78,-0.00458
1.79,-0.00418
1.8,-0.00224
1.81,-0.00194
1.82,-0.00358
1.83,-0.00384
1.84,-0.00258
1.85,-0.00247
1.86,-0.0028
1.87,-0.00198
1.88,-0.00168
1.89,-0.00257
1.9,-0.00281
1.91,-0.00232
1.92,-0.00253
1.93,-0.00305
1.94,-0.00252
1.95,-0.00162
1.96,-0.00261
1.97,-0.00384
1.98,-0.0025
1.99,-0.00226
2,-0.00392
2.01,-0.00301
2.02,-0.00176
2.03,-0.00241
2.04,-0.00293
2.05,-0.00345
2.06,-0.00324
2.07,-0.00258
2.08,-0.00209
2.09,-0.00047
2.1,-0.00027
2.11,-0.00224
2.12,-0.00289
2.13,-0.00173
2.14,-0.00001
2.15,-0.00016
2.16,-0.00292
2.17,-0.00361
2.18,-0.00126
2.19,-0.00066
2.2,-0.00202
2.21,-0.00202
2.22,0.00016
2.23,0.00264
2.24,0.00132
2.25,-0.00226
2.26,-0.00238
2.27,-0.00058
2.28,0.00069
2.29,0.00005
2.3,-0.00245
2.31,-0.00032
2.32,0.00203
2.33,-0.00108
2.34,0.00021
2.35,0.0017
2.36,-0.0041
2.37,-0.00518
2.38,-0.00101
2.39,0.00218
2.4,0.00447
2.41,-0.00066
2.42,-0.00482
2.43,0.00232
2.44,0.00365
2.45,-0.00122
2.46,0.00392
2.47,0.00416
2.48,-0.00463
2.49,-0.00215
2.5,-0.00029
2.51,-0.00482
2.52,0.00335
2.53,0.00812
2.54,0.00016
2.55,-0.00212
2.56,-0.0043
2.57,-0.00442
2.58,0.00328
2.59,0.00165
2.6,-0.00366
2.61,-0.00203
2.62,-0.00208
2.63,-0.00248
2.64,-0.00122
2.65,-0.00024
2.66,-0.00048
2.67,-0.00201
2.68,0.00436
2.69,0.01128
2.7,0.00177
2.71,-0.00782
2.72,-0.00214
2.73,-0.0031
2.74,-0.01518
2.75,-0.00765
2.76,0.00861
2.77,0.00236
2.78,-0.00384
2.79,-0.00192
2.8,-0.0058
2.81,0.00065
2.82,0.0048
2.83,0.00095
2.84,0.00846
2.85,0.00173
2.86,-0.00923
2.87,0.00446
2.88,0.0056
2.89,-0.006
2.9,-0.00157
2.91,0.0031
2.92,0.00219
2.93,-0.00111
2.94,-0.00298
2.95,0.00897
2.96,0.01646
2.97,0.00242
2.98,-0.01178
2.99,-0.00983
3,-0.00305
3.01,-0.00739
3.02,-0.01272
3.03,0.00643
3.04,0.02676
3.05,0.00646
3.06,-0.01868
3.07,-0.00783
3.08,0.0047
3.09,-0.00089
3.1,-0.00275
3.11,0.00679
3.12,0.00781
3.13,-0.0113
3.14,-0.01602
3.15,0.00029
3.16,-0.00055
3.17,-0.00679
3.18,-0.00179
3.19,-0.00307
3.2,-0.00481
3.21,-0.00228
3.22,-0.00225
3.23,0.00433
3.24,0.01267
3.25,0.00743
3.26,0.00068
3.27,0.00352
3.28,-0.00034
3.29,-0.00762
3.3,-0.00114
3.31,0.00575
3.32,0.00372
3.33,-0.00172
3.34,-0.00496
3.35,0.0041
3.36,0.00841
3.37,-0.00245
3.38,0.0022
3.39,0.01687
3.4,0.00779
3.41,-0.00597
3.42,0.00313
3.43,0.01164
3.44,0.00675
3.45,0.01265
3.46,0.01938
3.47,0.00484
3.48,-0.00682
3.49,-0.00328
3.5,-0.00225
3.51,-0.0017
3.52,0.00567
3.53,0.01026
3.54,0.00892
3.55,0.01459
3.56,0.02023
3.57,0.0066
3.58,-0.00468
3.59,0.00791
3.6,0.02176
3.61,0.01882
3.62,0.00814
3.63,0.00729
3.64,0.01928
3.65,0.02185
3.66,0.00854
3.67,0.00432
3.68,0.00905
3.69,0.00236
3.7,0.00192
3.71,0.01195
3.72,0.00083
3.73,-0.00784
3.74,0.01061
3.75,0.01271
3.76,-0.00493
3.77,-0.00577
3.78,-0.00003
3.79,-0.00006
3.8,0.00943
3.81,0.02184
3.82,0.00975
3.83,-0.0178
3.84,-0.01747
3.85,0.01043
3.86,0.01876
3.87,0.00585
3.88,0.00266
3.89,-0.01083
3.9,-0.03156
3.91,-0.00524
3.92,0.03377
3.93,0.02736
3.94,0.0154
3.95,0.02085
3.96,0.03275
3.97,0.04753
3.98,0.01813
3.99,-0.02828
4,-0.00742
4.01,0.02057
4.02,-0.00461
4.03,-0.01907
4.04,-0.00177
4.05,0.01388
4.06,0.01238
4.07,-0.00341
4.08,-0.00482
4.09,0.00969
4.1,0.01038
4.11,0.0153
4.12,0.03163
4.13,0.01645
4.14,-0.00566
4.15,-0.00797
4.16,-0.01908
4.17,-0.00613
4.18,0.02484
4.19,0.01838
4.2,-0.00159
4.21,-0.01357
4.22,0.00334
4.23,0.03646
4.24,0.01488
4.25,-0.01379
4.26,0.00031
4.27,0.00352
4.28,0.00646
4.29,0.01647
4.3,-0.00103
4.31,-0.00984
4.32,0.00224
4.33,0.00181
4.34,0.00791
4.35,0.02258
4.36,0.02462
4.37,0.02386
4.38,0.01118
4.39,0.00756
4.4,0.01761
4.41,-0.01933
4.42,-0.02818
4.43,0.0273
4.44,0.01052
4.45,-0.02028
4.46,0.02032
4.47,0.01907
4.48,-0.00992
4.49,0.00201
4.5,0.01595
4.51,0.0286
4.52,0.03096
4.53,0.01175
4.54,0.00846
4.55,0.00959
4.56,-0.00684
4.57,-0.01187
4.58,0.00527
4.59,0.01248
4.6,0.00265
4.61,0.00128
4.62,-0.00386
4.63,-0.01206
4.64,0.00687
4.65,0.02334
4.66,0.00265
4.67,-0.0238
4.68,-0.01903
4.69,0.0015
4.7,0.00805
4.71,0.01208
4.72,0.00627
4.73,-0.00533
4.74,0.01477
4.75,0.00489
4.76,-0.03775
4.77,-0.01489
4.78,0.01031
4.79,-0.00193
4.8,0.01847
4.81,0.01864
4.82,-0.00721
4.83,0.00455
4.84,-0.00068
4.85,-0.01723
4.86,0.00691
4.87,0.01408
4.88,-0.00359
4.89,-0.00962
4.9,-0.02132
4.91,-0.01801
4.92,0.00288
4.93,0.00374
4.94,0.00532
4.95,0.01283
4.96,0.01242
4.97,0.01257
4.98,0.00297
4.99,-0.00146
5,-0.00166
5.01,-0.01532
5.02,-0.01034
5.03,0.00273
5.04,0.00914
5.05,0.01126
5.06,-0.02328
5.07,-0.0408
5.08,-0.0123
5.09,-0.00873
5.1,-0.00917
5.11,0.00553
5.12,-0.00862
5.13,-0.02227
5.14,-0.00161
5.15,0.01399
5.16,-0.0069
5.17,-0.01354
5.18,0.0222
5.19,0.02966
5.2,0.00168
5.21,0.00003
5.22,0.00754
5.23,-0.0046
5.24,0.00025
5.25,0.02323
5.26,0.0169
5.27,0.00492
5.28,0.00816
5.29,-0.01759
5.3,-0.02786
5.31,-0.00105
5.32,-0.01895
5.33,-0.03549
5.34,0.00223
5.35,0.02616
5.36,0.03286
5.37,0.02368
5.38,-0.01336
5.39,-0.01844
5.4,0.00128
5.41,0.00627
5.42,0.02003
5.43,0.02491
5.44,0.00432
5.45,0.00311
5.46,0.01615
5.47,-0.00098
5.48,-0.02411
5.49,-0.01848
5.5,-0.00112
5.51,0.02647
5.52,0.03305
5.53,-0.01297
5.54,-0.02269
5.55,0.01528
5.56,0.00733
5.57,-0.01463
5.58,-0.00666
5.59,0.00407
5.6,0.01041
5.61,0.00275
5.62,-0.01022
5.63,-0.01022
5.64,-0.00246
5.65,0.02056
5.66,0.04037
5.67,0.02539
5.68,0.00529
5.69,-0.00544
5.7,-0.0219
5.71,-0.00321
5.72,0.02845
5.73,-0.00229
5.74,-0.02434
5.75,0.01051
5.76,0.01179
5.77,-0.01505
5.78,-0.00592
5.79,0.01928
5.8,0.02264
5.81,-0.00615
5.82,-0.01924
5.83,0.01517
5.84,0.04327
5.85,0.04207
5.86,0.0142
5.87,-0.01677
5.88,0.00923
5.89,0.02513
5.9,-0.01276
5.91,0.00644
5.92,0.03928
5.93,0.00189
5.94,-0.00912
5.95,0.00345
5.96,-0.01368
5.97,0.00076
5.98,0.01835
5.99,0.00372
6,0.02042
6.01,0.04702
6.02,0.04241
6.03,0.01866
6.04,-0.01919
6.05,-0.00841
6.06,0.04323
6.07,0.01833
6.08,-0.02651
6.09,0.00168
6.1,0.00983
6.11,-0.00623
6.12,0.02058
6.13,0.01568
6.14,-0.0236
6.15,-0.02157
6.16,-0.0096
6.17,-0.0086
6.18,-0.00072
6.19,0.01423
6.2,0.02994
6.21,0.01866
6.22,-0.00199
6.23,-0.00963
6.24,-0.02597
6.25,-0.02678
6.26,-0.00657
6.27,-0.00172
6.28,0.00452
