Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.00175
0.02,-0.00349
0.03,-0.00349
0.04,-0.00348
0.05,-0.00348
0.06,-0.00348
0.07,-0.00348
0.08,-0.00347
0.09,-0.00347
0.1,-0.00347
0.11,-0.00346
0.12,-0.00346
0.13,-0.00345
0.14,-0.00345
0.15,-0.00345
0.16,-0.00344
0.17,-0.00344
0.18,-0.00343
0.19,-0.00343
0.2,-0.00342
0.21,-0.00342
0.22,-0.00341
0.23,-0.00341
0.24,-0.0034
0.25,-0.00339
0.26,-0.00339
0.27,-0.00338
0.28,-0.00338
0.29,-0.00337
0.3,-0.00336
0.31,-0.00336
0.32,-0.00335
0.33,-0.00334
0.34,-0.00334
0.35,-0.00333
0.36,-0.00332
0.37,-0.00331
0.38,-0.00331
0.39,-0.0033
0.4,-0.00329
0.41,-0.00328
0.42,-0.00328
0.43,-0.00327
0.44,-0.00326
0.45,-0.00325
0.46,-0.00324
0.47,-0.00323
0.48,-0.00322
0.49,-0.00321
0.5,-0.0032
0.51,-0.0032
0.52,-0.00319
0.53,-0.00318
0.54,-0.00317
0.55,-0.00316
0.56,-0.00315
0.57,-0.00314
0.58,-0.00313
0.59,-0.00312
0.6,-0.00311
0.61,-0.0031
0.62,-0.00309
0.63,-0.00307
0.64,-0.00306
0.65,-0.00305
0.66,-0.00304
0.67,-0.00303
0.68,-0.00302
0.69,-0.00302
0.7,-0.003
0.71,-0.00298
0.72,-0.00297
0.73,-0.00296
0.74,-0.00295
0.75,-0.00294
0.76,-0.00293
0.77,-0.00291
0.78,-0.0029
0.79,-0.00289
0.8,-0.00287
0.81,-0.00285
0.82,-0.00285
0.83,-0.00285
0.84,-0.00283
0.85,-0.00281
0.86,-0.00279
0.87,-0.00277
0.88,-0.00277
0.89,-0.00278
0.9,-0.00275
0.91,-0.00272
0.92,-0.00271
0.93,-0.00271
0.94,-0.0027
0.95,-0.00266
0.96,-0.00265
0.97,-0.00266
0.98,-0.00264
0.99,-0.0026
1,-0.00261
1.01,-0.00261
1.02,-0.00257
1.03,-0.00256
1.04,-0.00255
1.05,-0.0025
1.06,-0.00249
1.07,-0.00251
1.08,-0.00247
1.09,-0.00245
1.1,-0.00245
1.11,-0.00241
1.12,-0.00237
1.13,-0.00233
1.14,-0.00235
1.15,-0.00243
1.16,-0.00237
1.17,-0.00227
1.18,-0.00234
1.19,-0.00233
1.2,-0.00223
1.21,-0.00229
1.22,-0.00232
1.23,-0.00223
1.24,-0.00219
1.25,-0.00212
1.26,-0.00207
1.27,-0.00216
1.28,-0.00222
1.29,-0.00224
1.3,-0.00226
1.31,-0.00217
1.32,-0.00214
1.33,-0.0021
1.34,-0.00197
1.35,-0.00218
1.36,-0.00243
1.37,-0.00207
1.38,-0.00185
1.39,-0.00212
1.4,-0.0021
1.41,-0.002
1.42,-0.00211
1.43,-0.00192
1.44,-0.00158
1.45,-0.00175
1.46,-0.00207
1.47,-0.00188
1.48,-0.00174
1.49,-0.00182
1.5,-0.00138
1.51,-0.00103
1.52,-0.00143
1.53,-0.00186
1.54,-0.00204
1.55,-0.00189
1.56,-0.00164
1.57,-0.00177
1.58,-0.0016
1.59,-0.00125
1.6,-0.00164
1.61,-0.00184
1.62,-0.00115
1.63,-0.00079
1.64,-0.00143
1.65,-0.00203
1.66,-0.00178
1.67,-0.00137
1.68,-0.0013
1.69,-0.00098
