Time [sec],Acceleration [cm/sec2]
2.97,0.61765
2.98,0.60977
2.99,0.6164
3,0.62472
3.01,0.61181
3.02,0.59201
3.03,0.60191
3.04,0.63219
3.05,0.64368
3.06,0.64335
3.07,0.64943
3.08,0.64679
3.09,0.63753
3.1,0.63755
3.11,0.64048
3.12,0.64476
3.13,0.65576
3.14,0.66416
3.15,0.66413
3.16,0.66427
3.17,0.67015
3.18,0.67531
3.19,0.67458
3.2,0.67473
3.21,0.67837
3.22,0.67785
3.23,0.67631
3.24,0.68
3.25,0.67873
3.26,0.67286
3.27,0.67812
3.28,0.68636
3.29,0.68227
3.3,0.67908
3.31,0.69172
3.32,0.71135
3.33,0.71877
3.34,0.70543
3.35,0.68809
3.36,0.68829
3.37,0.697
3.38,0.69757
3.39,0.69865
3.4,0.70267
3.41,0.69699
3.42,0.69001
3.43,0.69231
3.44,0.69394
3.45,0.69578
3.46,0.70812
3.47,0.72317
3.48,0.72522
3.49,0.71513
3.5,0.71069
3.51,0.71526
3.52,0.71574
3.53,0.71955
3.54,0.73299
3.55,0.73668
3.56,0.73206
3.57,0.73515
3.58,0.7344
3.59,0.72574
3.6,0.72639
3.61,0.73338
3.62,0.73867
3.63,0.75182
3.64,0.76372
3.65,0.75047
3.66,0.72628
3.67,0.72489
3.68,0.7395
3.69,0.74129
3.7,0.7329
3.71,0.73657
3.72,0.75009
3.73,0.74956
3.74,0.7361
3.75,0.73965
3.76,0.75992
3.77,0.76492
3.78,0.75557
3.79,0.75821
3.8,0.77263
3.81,0.78286
3.82,0.78307
3.83,0.77722
3.84,0.77851
3.85,0.7902
3.86,0.7934
3.87,0.7815
3.88,0.77253
3.89,0.77628
3.9,0.78451
3.91,0.7879
3.92,0.7877
3.93,0.79236
3.94,0.79734
3.95,0.78793
3.96,0.77654
3.97,0.79077
3.98,0.81381
3.99,0.80736
4,0.78541
4.01,0.78215
4.02,0.789
4.03,0.79292
4.04,0.80482
4.05,0.81782
4.06,0.81122
4.07,0.79384
4.08,0.7908
4.09,0.79919
4.1,0.79573
4.11,0.78226
4.12,0.77921
4.13,0.78838
4.14,0.8016
4.15,0.80924
4.16,0.79945
4.17,0.7871
4.18,0.79836
4.19,0.82062
4.2,0.82449
4.21,0.80855
4.22,0.7954
4.23,0.80788
4.24,0.83723
4.25,0.84184
4.26,0.81432
4.27,0.80299
4.28,0.82139
4.29,0.82659
4.3,0.81424
4.31,0.81413
4.32,0.82009
4.33,0.82109
4.34,0.82115
4.35,0.81158
4.36,0.79501
4.37,0.79096
4.38,0.80186
4.39,0.81528
4.4,0.82152
4.41,0.81822
4.42,0.80585
4.43,0.78651
4.44,0.77424
4.45,0.78415
4.46,0.80924
4.47,0.82685
4.48,0.82124
4.49,0.80169
4.5,0.79654
4.51,0.8138
4.52,0.8276
4.53,0.82223
4.54,0.81459
4.55,0.81586
4.56,0.81691
4.57,0.81706
4.58,0.81739
4.59,0.80912
4.6,0.80278
4.61,0.8156
4.62,0.83176
4.63,0.8286
4.64,0.81139
4.65,0.79493
4.66,0.78676
4.67,0.79327
4.68,0.81044
4.69,0.8131
4.7,0.79276
4.71,0.78143
4.72,0.79077
4.73,0.79106
4.74,0.78119
4.75,0.785
4.76,0.79101
4.77,0.78447
4.78,0.77992
4.79,0.77928
4.8,0.77675
4.81,0.78205
4.82,0.78455
4.83,0.76956
4.84,0.76962
4.85,0.8092
4.86,0.84061
4.87,0.81712
4.88,0.77565
4.89,0.76929
4.9,0.78001
4.91,0.7744
4.92,0.76451
4.93,0.76384
4.94,0.76485
4.95,0.76338
4.96,0.75669
4.97,0.74283
4.98,0.72587
4.99,0.70175
5,0.66372
5.01,0.61875
5.02,0.5682
5.03,0.49472
5.04,0.38491
5.05,0.24738
5.06,0.12105
5.07,0.06704
5.08,0.12628
5.09,0.29038
5.1,0.53707
5.11,0.91904
5.12,1.56739
5.13,2.4609
5.14,3.22962
5.15,3.42354
5.16,2.97434
5.17,2.1697
5.18,1.17922
5.19,-0.18875
5.2,-2.18411
5.21,-4.47698
5.22,-5.79638
5.23,-4.87892
5.24,-2.18498
5.25,0.39116
5.26,1.72291
5.27,1.89476
5.28,1.0107
5.29,-0.86251
5.3,-3.75767
5.31,-8.28953
5.32,-14.19453
5.33,-19.43857
5.34,-22.50891
5.35,-22.75545
5.36,-18.4783
5.37,-10.44364
5.38,-4.8705
5.39,-4.59441
5.4,-3.32461
5.41,1.80661
5.42,2.94612
5.43,-3.80453
5.44,-11.36902
5.45,-16.18306
5.46,-21.91961
5.47,-26.12212
5.48,-21.68853
5.49,-10.65283
5.5,-1.01465
5.51,6.12099
5.52,14.80493
5.53,23.55362
5.54,24.38516
5.55,12.35299
5.56,-6.98853
5.57,-20.52223
5.58,-19.02289
5.59,-7.66323
5.6,-1.93941
5.61,-7.80784
5.62,-12.90439
5.63,-6.78807
5.64,2.11084
5.65,2.37217
5.66,-2.39094
5.67,-4.50791
5.68,-5.70767
5.69,-7.04272
5.7,-1.98445
5.71,6.94686
5.72,2.83676
5.73,-19.48423
5.74,-39.99403
5.75,-41.26029
5.76,-32.66823
5.77,-30.36351
5.78,-30.58727
5.79,-23.29986
5.8,-14.11518
5.81,-11.85153
5.82,-12.2598
5.83,-11.89992
5.84,-19.37604
5.85,-33.56289
5.86,-32.9025
5.87,-11.31226
5.88,4.6693
5.89,-1.43449
5.9,-15.19384
5.91,-24.91562
5.92,-32.33558
5.93,-33.34668
5.94,-24.77499
5.95,-14.94835
5.96,-5.74798
5.97,12.69552
5.98,36.8177
5.99,43.00054
6,19.64496
6.01,-11.23461
6.02,-22.52347
6.03,-19.45767
6.04,-23.18786
6.05,-31.42777
6.06,-28.80212
6.07,-17.9694
6.08,-8.42638
6.09,2.87254
6.1,18.06312
6.11,27.72949
6.12,24.9329
6.13,15.91704
6.14,9.99805
6.15,6.6729
6.16,1.31559
6.17,-5.0948
6.18,-9.07242
6.19,-7.38776
6.2,0.93576
6.21,10.38296
6.22,16.4093
6.23,22.2107
6.24,29.38616
6.25,30.84834
6.26,18.80486
6.27,-2.67816
6.28,-20.49547
6.29,-30.4608
6.3,-37.34615
6.31,-36.75851
6.32,-19.78659
6.33,5.0242
6.34,17.87345
6.35,17.19046
6.36,17.92793
6.37,18.4363
6.38,1.98916
6.39,-28.1792
6.4,-49.37596
6.41,-50.346
6.42,-39.76426
6.43,-31.17377
6.44,-26.80665
6.45,-18.45699
6.46,-6.0747
6.47,0.73873
6.48,1.82462
6.49,4.92448
6.5,8.6742
6.51,7.2882
6.52,5.58813
6.53,11.88225
6.54,20.65232
6.55,20.50531
6.56,16.32146
6.57,22.00186
6.58,34.06089
6.59,37.27027
6.6,33.79495
6.61,38.027
6.62,45.13488
6.63,37.3985
6.64,17.68949
6.65,4.74431
6.66,2.72568
6.67,1.22832
6.68,-3.69511
6.69,-7.56952
6.7,-9.58283
6.71,-11.75588
6.72,-10.72987
6.73,-3.38061
6.74,4.46697
6.75,6.19632
6.76,4.52217
6.77,4.341
6.78,3.54896
6.79,-1.32895
6.8,-8.01515
6.81,-12.30995
6.82,-12.3859
6.83,-7.17561
6.84,2.08611
6.85,8.39238
6.86,6.69889
6.87,2.82058
6.88,2.55027
6.89,0.44642
6.9,-7.09693
6.91,-12.21354
6.92,-11.14558
6.93,-12.79375
6.94,-21.92733
6.95,-29.06684
6.96,-25.89446
6.97,-17.89016
6.98,-12.87643
6.99,-9.64017
7,-6.37676
7.01,-5.54431
7.02,-4.11698
7.03,4.66178
7.04,18.1952
7.05,27.25613
7.06,28.88448
7.07,26.32233
7.08,21.2486
7.09,14.9192
7.1,10.9583
7.11,8.90952
7.12,3.4314
7.13,-4.39548
7.14,-6.3861
7.15,-0.99095
7.16,4.41056
7.17,5.67849
7.18,4.88935
7.19,3.14229
7.2,0.82489
7.21,1.39911
7.22,6.98747
7.23,13.29066
7.24,14.65017
7.25,12.50908
7.26,11.83109
7.27,11.05254
7.28,5.90578
7.29,-0.61189
7.3,-2.18562
