Time [sec],Acceleration [cm/sec2]
0,0
0.005,1.39353
0.01,2.78252
0.015,2.77551
0.02,2.76823
0.025,2.76066
0.03,2.75279
0.035,2.74462
0.04,2.73614
0.045,2.72733
0.05,2.7182
0.055,2.70874
0.06,2.69893
0.065,2.68876
0.07,2.67824
0.075,2.66735
0.08,2.65608
0.085,2.64442
0.09,2.63237
0.095,2.61992
0.1,2.60706
0.105,2.59379
0.11,2.58008
0.115,2.56595
0.12,2.55138
0.125,2.53636
0.13,2.52088
0.135,2.50493
0.14,2.48851
0.145,2.47161
0.15,2.45424
0.155,2.43637
0.16,2.41801
0.165,2.39914
0.17,2.37975
0.175,2.35984
0.18,2.33939
0.185,2.31842
0.19,2.29691
0.195,2.27487
0.2,2.25229
0.205,2.22917
0.21,2.20549
0.215,2.18126
0.22,2.15644
0.225,2.13104
0.23,2.10506
0.235,2.07849
0.24,2.05133
0.245,2.02359
0.25,1.99524
0.255,1.96626
0.26,1.93659
0.265,1.90624
0.27,1.87526
0.275,1.84373
0.28,1.81171
0.285,1.77917
0.29,1.74601
0.295,1.71216
0.3,1.67758
0.305,1.64237
0.31,1.60663
0.315,1.57049
0.32,1.53396
0.325,1.49699
0.33,1.45945
0.335,1.42127
0.34,1.38248
0.345,1.34312
0.35,1.3032
0.355,1.26257
0.36,1.22104
0.365,1.1786
0.37,1.13551
0.375,1.09217
0.38,1.04884
0.385,1.00541
0.39,0.96148
0.395,0.9167
0.4,0.87097
0.405,0.82446
0.41,0.77748
0.415,0.73041
0.42,0.68352
0.425,0.6369
0.43,0.59028
0.435,0.54313
0.44,0.49492
0.445,0.44546
0.45,0.39501
0.455,0.34385
0.46,0.29169
0.465,0.23774
0.47,0.18149
0.475,0.12381
0.48,0.06694
0.485,0.01311
0.49,-0.03739
0.495,-0.08674
0.5,-0.13782
0.505,-0.19159
0.51,-0.24648
0.515,-0.30027
0.52,-0.3524
0.525,-0.40426
0.53,-0.4574
0.535,-0.51175
0.54,-0.56537
0.545,-0.61594
0.55,-0.66278
0.555,-0.70806
0.56,-0.75626
0.565,-0.81178
0.57,-0.87598
0.575,-0.9458
0.58,-1.01505
0.585,-1.07754
0.59,-1.13024
0.595,-1.17487
0.6,-1.21682
0.605,-1.26191
0.61,-1.31286
0.615,-1.3684
0.62,-1.425
0.625,-1.47963
0.63,-1.53122
0.635,-1.58069
0.64,-1.62984
0.645,-1.68018
0.65,-1.73192
0.655,-1.78375
0.66,-1.83337
0.665,-1.87878
0.67,-1.92
0.675,-1.96048
0.68,-2.00696
0.685,-2.06703
0.69,-2.14469
0.695,-2.23621
0.7,-2.3293
0.705,-2.40753
0.71,-2.45787
0.715,-2.47717
0.72,-2.4739
0.725,-2.46483
0.73,-2.46823
0.735,-2.49669
0.74,-2.55265
0.745,-2.62814
0.75,-2.70765
0.755,-2.77296
0.76,-2.81017
0.765,-2.81759
0.77,-2.80879
0.775,-2.80573
0.78,-2.82499
0.785,-2.8675
0.79,-2.91886
0.795,-2.95817
0.8,-2.9691
0.805,-2.94885
0.81,-2.91215
0.815,-2.88722
0.82,-2.9017
0.825,-2.96339
0.83,-3.04881
0.835,-3.11182
0.84,-3.11031
0.845,-3.03367
0.85,-2.91296
0.855,-2.80765
0.86,-2.77599
0.865,-2.84455
0.87,-2.99397
0.875,-3.16964
0.88,-3.30954
0.885,-3.37227
0.89,-3.35251
0.895,-3.28084
0.9,-3.20773
0.905,-3.17411
0.91,-3.18281
0.915,-3.19245
0.92,-3.14206
0.925,-2.99033
0.93,-2.74338
0.935,-2.45248
0.94,-2.18294
0.945,-1.97479
0.95,-1.82358
0.955,-1.69464
0.96,-1.55789
0.965,-1.41316
0.97,-1.28687
0.975,-1.20958
0.98,-1.20078
0.985,-1.27166
0.99,-1.42829
0.995,-1.65963
1,-1.92553
1.005,-2.17185
1.01,-2.36745
1.015,-2.52207
1.02,-2.65902
1.025,-2.77117
1.03,-2.81385
1.035,-2.74844
1.04,-2.59233
1.045,-2.4204
1.05,-2.31189
1.055,-2.29178
1.06,-2.32206
1.065,-2.34866
1.07,-2.35268
1.075,-2.34931
1.08,-2.33676
1.085,-2.26119
1.09,-2.05343
1.095,-1.71139
1.1,-1.34056
1.105,-1.09909
1.11,-1.09081
1.115,-1.30156
1.12,-1.62755
1.125,-1.95723
1.13,-2.23506
1.135,-2.47346
1.14,-2.72475
1.145,-3.03877
1.15,-3.42878
1.155,-3.86083
1.16,-4.26766
1.165,-4.57866
1.17,-4.75565
1.175,-4.81744
1.18,-4.83128
1.185,-4.87062
1.19,-4.96746
1.195,-5.09025
1.2,-5.15773
1.205,-5.08024
1.21,-4.80973
1.215,-4.37133
1.22,-3.85007
1.225,-3.33326
1.23,-2.85781
1.235,-2.42328
1.24,-2.05925
1.245,-1.85355
1.25,-1.88647
1.255,-2.14421
1.26,-2.52031
1.265,-2.90023
1.27,-3.22627
1.275,-3.48892
1.28,-3.69223
1.285,-3.83679
1.29,-3.89632
1.295,-3.78317
1.3,-3.3787
1.305,-2.66772
1.31,-1.8524
1.315,-1.26991
1.32,-1.13252
1.325,-1.32672
1.33,-1.46975
1.335,-1.17721
1.34,-0.32178
1.345,0.89699
1.35,2.09289
1.355,2.92765
1.36,3.27757
1.365,3.23494
1.37,2.98773
1.375,2.70596
1.38,2.51118
1.385,2.49525
1.39,2.7139
1.395,3.13716
1.4,3.618
1.405,3.94596
1.41,3.96713
1.415,3.67385
1.42,3.19185
1.425,2.68357
1.43,2.24826
1.435,1.8941
1.44,1.59672
1.445,1.37506
1.45,1.28912
1.455,1.34367
1.46,1.39956
1.465,1.21132
1.47,0.58921
1.475,-0.45113
1.48,-1.68098
1.485,-2.77717
1.49,-3.44969
1.495,-3.51287
1.5,-2.92623
1.505,-1.82077
1.51,-0.47051
1.515,0.81404
1.52,1.82198
1.525,2.52504
1.53,3.05406
1.535,3.57343
1.54,4.12077
1.545,4.5228
1.55,4.47498
1.555,3.7571
1.56,2.42722
1.565,0.82639
1.57,-0.62137
1.575,-1.65141
1.58,-2.25639
1.585,-2.60162
1.59,-2.8702
1.595,-3.15749
1.6,-3.4495
1.605,-3.67028
1.61,-3.77123
1.615,-3.79935
1.62,-3.8613
1.625,-3.98732
1.63,-4.01446
1.635,-3.74474
1.64,-3.06791
1.645,-2.09028
1.65,-1.13777
1.655,-0.50804
1.66,-0.30074
1.665,-0.41218
1.67,-0.65044
1.675,-0.85089
1.68,-0.91962
1.685,-0.81927
1.69,-0.55324
1.695,-0.18258
1.7,0.13928
1.705,0.16546
1.71,-0.36601
1.715,-1.58144
1.72,-3.3301
1.725,-5.17108
1.73,-6.5489
1.735,-7.07903
1.74,-6.76038
1.745,-5.96987
1.75,-5.24657
1.755,-5.00985
1.76,-5.38512
1.765,-6.22542
1.77,-7.27597
1.775,-8.33444
1.78,-9.29132
1.785,-10.06386
1.79,-10.53319
1.795,-10.57034
1.8,-10.14007
1.805,-9.39025
1.81,-8.6148
1.815,-8.05542
1.82,-7.67369
1.825,-7.12732
1.83,-6.04343
1.835,-4.37889
1.84,-2.52741
1.845,-1.05926
1.85,-0.32955
1.855,-0.28618
1.86,-0.58479
1.865,-0.85168
1.87,-0.87972
1.875,-0.67019
1.88,-0.36616
1.885,-0.15593
1.89,-0.19193
1.895,-0.53581
1.9,-1.13318
1.905,-1.83107
1.91,-2.4445
1.915,-2.84214
1.92,-2.98976
1.925,-2.92057
1.93,-2.67472
1.935,-2.27881
1.94,-1.7808
1.945,-1.28331
1.95,-0.9112
1.955,-0.71874
1.96,-0.62112
1.965,-0.43537
1.97,-0.02134
1.975,0.58416
1.98,1.15374
1.985,1.40481
1.99,1.19712
1.995,0.64267
2,0.03287
2.005,-0.36336
2.01,-0.46786
2.015,-0.40403
2.02,-0.36773
2.025,-0.47696
2.03,-0.70719
2.035,-0.9423
2.04,-1.09778
2.045,-1.22672
2.05,-1.51741
2.055,-2.17016
2.06,-3.25707
2.065,-4.69003
2.07,-6.30371
2.075,-7.94661
2.08,-9.49692
2.085,-10.82099
2.09,-11.74308
2.095,-12.07033
2.1,-11.66969
2.105,-10.56084
2.11,-8.96927
2.115,-7.27855
2.12,-5.86174
2.125,-4.86853
2.13,-4.11561
2.135,-3.18059
2.14,-1.66107
2.145,0.55443
2.15,3.18037
2.155,5.68124
2.16,7.58318
2.165,8.7197
2.17,9.23736
2.175,9.41506
2.18,9.49539
2.185,9.62903
2.19,9.87288
2.195,10.18006
2.2,10.40291
2.205,10.34338
2.21,9.85195
2.215,8.94019
2.22,7.82552
2.225,6.83838
2.23,6.2359
2.235,6.05658
2.24,6.10506
2.245,6.05628
2.25,5.626
2.255,4.74432
2.26,3.63467
2.265,2.71222
2.27,2.34212
2.275,2.62907
2.28,3.38919
2.285,4.30358
2.29,5.12119
2.295,5.76882
2.3,6.3239
2.305,6.90935
2.31,7.59333
2.315,8.33965
2.32,9.02522
