Time [sec],Acceleration [cm/sec2]
0,0
0.01,-0.00054
0.02,-0.00108
0.03,-0.00108
0.04,-0.00108
0.05,-0.00107
0.06,-0.00107
0.07,-0.00107
0.08,-0.00106
0.09,-0.00106
0.1,-0.00105
0.11,-0.00105
0.12,-0.00105
0.13,-0.00104
0.14,-0.00104
0.15,-0.00103
0.16,-0.00103
0.17,-0.00103
0.18,-0.00102
0.19,-0.00102
0.2,-0.00101
0.21,-0.00101
0.22,-0.001
0.23,-0.001
0.24,-0.00099
0.25,-0.00099
0.26,-0.00098
0.27,-0.00098
0.28,-0.00097
0.29,-0.00096
0.3,-0.00096
0.31,-0.00095
0.32,-0.00095
0.33,-0.00094
0.34,-0.00093
0.35,-0.00093
0.36,-0.00092
0.37,-0.00091
0.38,-0.00091
0.39,-0.0009
0.4,-0.00089
0.41,-0.00088
0.42,-0.00088
0.43,-0.00087
0.44,-0.00086
0.45,-0.00085
0.46,-0.00084
0.47,-0.00083
0.48,-0.00082
0.49,-0.00081
0.5,-0.00081
0.51,-0.0008
0.52,-0.00079
0.53,-0.00078
0.54,-0.00077
0.55,-0.00076
0.56,-0.00075
0.57,-0.00073
0.58,-0.00072
0.59,-0.00071
0.6,-0.0007
0.61,-0.00069
0.62,-0.00067
0.63,-0.00066
0.64,-0.00065
0.65,-0.00064
0.66,-0.00062
0.67,-0.00061
0.68,-0.0006
0.69,-0.00058
0.7,-0.00057
0.71,-0.00055
0.72,-0.00054
0.73,-0.00053
0.74,-0.00051
0.75,-0.00049
0.76,-0.00048
0.77,-0.00046
0.78,-0.00044
0.79,-0.00043
0.8,-0.00041
0.81,-0.00039
0.82,-0.00038
0.83,-0.00036
0.84,-0.00035
0.85,-0.00032
0.86,-0.0003
0.87,-0.00029
0.88,-0.00026
0.89,-0.00023
0.9,-0.00023
0.91,-0.00019
0.92,-0.00015
0.93,-0.00015
0.94,-0.00014
0.95,-0.00012
0.96,-0.00009
0.97,-0.00006
0.98,-0.00005
0.99,-0.00004
1,0
1.01,0
1.02,0.00002
1.03,0.00007
1.04,0.00009
1.05,0.0001
1.06,0.00015
1.07,0.00018
1.08,0.00021
1.09,0.0002
1.1,0.00019
1.11,0.0003
1.12,0.00037
1.13,0.00032
1.14,0.00029
1.15,0.00037
1.16,0.00043
1.17,0.00046
1.18,0.00049
1.19,0.00046
1.2,0.00042
1.21,0.00049
1.22,0.00054
1.23,0.00055
1.24,0.00061
1.25,0.00065
1.26,0.00078
1.27,0.00085
1.28,0.00072
1.29,0.00078
1.3,0.00087
1.31,0.00067
1.32,0.00073
1.33,0.00103
1.34,0.00097
1.35,0.0008
1.36,0.00086
1.37,0.0009
1.38,0.00101
1.39,0.00132
1.4,0.00135
1.41,0.00117
1.42,0.0013
1.43,0.00126
1.44,0.00096
1.45,0.00112
1.46,0.00153
1.47,0.00155
1.48,0.00134
1.49,0.00126
1.5,0.00142
1.51,0.00153
1.52,0.0014
1.53,0.00147
1.54,0.00186
1.55,0.00184
1.56,0.00144
1.57,0.00145
1.58,0.00194
1.59,0.00217
1.6,0.0019
1.61,0.00157
1.62,0.00142
1.63,0.00178
1.64,0.00236
1.65,0.00211
1.66,0.00183
1.67,0.00248
1.68,0.00279
1.69,0.00236
1.7,0.00186
1.71,0.00159
1.72,0.0017
